Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
123,1155.00,0.001,-6.824,10.3235,3.2305,40.3708,0.0000,0.0000,0.0000,0.0000,11.7723,0.4451,47.0295,0.0000,0.0000,0.3823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-167.015,-131.591,24.804,3.196,12.982,0.004669,0.121933,0.000000,0.000000,0.010147,0.863251
124,1154.00,0.001,-6.836,10.3758,3.2310,40.3665,0.0000,0.0000,0.0000,0.0000,11.7889,0.4530,47.0120,0.0000,0.0000,0.3796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-167.810,-132.246,24.920,3.211,13.045,0.004753,0.122118,0.000000,0.000000,0.010074,0.863055
125,1153.00,0.001,-6.848,10.4259,3.2315,40.3623,0.0000,0.0000,0.0000,0.0000,11.8052,0.4609,46.9947,0.0000,0.0000,0.3768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-168.568,-132.871,25.030,3.226,13.106,0.004836,0.122299,0.000000,0.000000,0.010003,0.862862
126,1152.00,0.001,-6.860,10.4738,3.2320,40.3582,0.0000,0.0000,0.0000,0.0000,11.8212,0.4689,46.9776,0.0000,0.0000,0.3741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-169.290,-133.468,25.135,3.241,13.164,0.004920,0.122478,0.000000,0.000000,0.009932,0.862670
127,1151.00,0.001,-6.872,10.5195,3.2324,40.3541,0.0000,0.0000,0.0000,0.0000,11.8370,0.4768,46.9607,0.0000,0.0000,0.3715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-169.978,-134.039,25.235,3.254,13.219,0.005004,0.122653,0.000000,0.000000,0.009862,0.862480
128,1150.00,0.001,-6.885,10.5631,3.2329,40.3500,0.0000,0.0000,0.0000,0.0000,11.8524,0.4848,46.9439,0.0000,0.0000,0.3688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.632,-134.583,25.330,3.267,13.271,0.005088,0.122826,0.000000,0.000000,0.009794,0.862292
129,1150.00,0.001,-6.885,10.5631,3.2329,40.3500,0.0000,0.0000,0.0000,0.0000,11.8524,0.4848,46.9439,0.0000,0.0000,0.3688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.632,-134.583,25.330,3.267,13.271,0.005088,0.122826,0.000000,0.000000,0.009794,0.862292
130,1149.00,0.001,-6.897,10.6048,3.2334,40.3460,0.0000,0.0000,0.0000,0.0000,11.8677,0.4928,46.9273,0.0000,0.0000,0.3662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-171.253,-135.102,25.420,3.280,13.321,0.005173,0.122996,0.000000,0.000000,0.009725,0.862106
131,1148.00,0.001,-6.909,10.6446,3.2338,40.3420,0.0000,0.0000,0.0000,0.0000,11.8827,0.5008,46.9109,0.0000,0.0000,0.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-171.844,-135.597,25.506,3.292,13.368,0.005257,0.123164,0.000000,0.000000,0.009658,0.861921
132,1147.00,0.001,-6.921,10.6824,3.2343,40.3381,0.0000,0.0000,0.0000,0.0000,11.8975,0.5088,46.8946,0.0000,0.0000,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.404,-136.068,25.586,3.303,13.413,0.005341,0.123329,0.000000,0.000000,0.009592,0.861738
133,1146.00,0.001,-6.933,10.7185,3.2347,40.3342,0.0000,0.0000,0.0000,0.0000,11.9120,0.5167,46.8784,0.0000,0.0000,0.3586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.936,-136.516,25.663,3.314,13.456,0.005426,0.123492,0.000000,0.000000,0.009526,0.861556
134,1145.00,0.001,-6.945,10.7529,3.2352,40.3303,0.0000,0.0000,0.0000,0.0000,11.9264,0.5247,46.8624,0.0000,0.0000,0.3561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-173.439,-136.943,25.735,3.324,13.497,0.005510,0.123653,0.000000,0.000000,0.009461,0.861376
135,1144.00,0.001,-6.957,10.7856,3.2356,40.3265,0.0000,0.0000,0.0000,0.0000,11.9406,0.5327,46.8465,0.0000,0.0000,0.3537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-173.915,-137.348,25.803,3.333,13.536,0.005595,0.123812,0.000000,0.000000,0.009396,0.861197
136,1143.00,0.001,-6.969,10.8166,3.2361,40.3227,0.0000,0.0000,0.0000,0.0000,11.9546,0.5407,46.8308,0.0000,0.0000,0.3512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-174.365,-137.733,25.867,3.343,13.572,0.005679,0.123969,0.000000,0.000000,0.009333,0.861020
137,1142.00,0.001,-6.982,10.8461,3.2365,40.3189,0.0000,0.0000,0.0000,0.0000,11.9684,0.5487,46.8151,0.0000,0.0000,0.3488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-174.790,-138.099,25.928,3.351,13.607,0.005763,0.124124,0.000000,0.000000,0.009270,0.860843
138,1141.00,0.001,-6.994,10.8741,3.2370,40.3152,0.0000,0.0000,0.0000,0.0000,11.9821,0.5567,46.7996,0.0000,0.0000,0.3465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.191,-138.445,25.985,3.359,13.639,0.005848,0.124277,0.000000,0.000000,0.009208,0.860668
139,1140.00,0.001,-7.006,10.9007,3.2374,40.3114,0.0000,0.0000,0.0000,0.0000,11.9956,0.5646,46.7842,0.0000,0.0000,0.3441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.567,-138.772,26.038,3.367,13.670,0.005932,0.124428,0.000000,0.000000,0.009146,0.860494
140,1140.00,0.001,-7.006,10.9007,3.2374,40.3114,0.0000,0.0000,0.0000,0.0000,11.9956,0.5646,46.7842,0.0000,0.0000,0.3441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.567,-138.772,26.038,3.367,13.670,0.005932,0.124428,0.000000,0.000000,0.009146,0.860494
141,1139.00,0.001,-7.018,10.9258,3.2379,40.3078,0.0000,0.0000,0.0000,0.0000,12.0089,0.5726,46.7689,0.0000,0.0000,0.3418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-175.921,-139.082,26.087,3.374,13.699,0.006016,0.124578,0.000000,0.000000,0.009085,0.860321
142,1138.00,0.001,-7.031,10.9495,3.2383,40.3041,0.0000,0.0000,0.0000,0.0000,12.0221,0.5805,46.7538,0.0000,0.0000,0.3395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-176.253,-139.374,26.134,3.381,13.726,0.006100,0.124726,0.000000,0.000000,0.009024,0.860149
143,1137.00,0.001,-7.043,10.9719,3.2387,40.3005,0.0000,0.0000,0.0000,0.0000,12.0352,0.5885,46.7387,0.0000,0.0000,0.3372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-176.563,-139.649,26.177,3.388,13.752,0.006184,0.124873,0.000000,0.000000,0.008965,0.859978
144,1136.00,0.001,-7.055,10.9930,3.2391,40.2968,0.0000,0.0000,0.0000,0.0000,12.0481,0.5964,46.7237,0.0000,0.0000,0.3349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-176.853,-139.909,26.217,3.394,13.776,0.006268,0.125018,0.000000,0.000000,0.008905,0.859809
145,1135.00,0.001,-7.067,11.0129,3.2396,40.2933,0.0000,0.0000,0.0000,0.0000,12.0609,0.6043,46.7089,0.0000,0.0000,0.3327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.122,-140.152,26.254,3.399,13.798,0.006351,0.125162,0.000000,0.000000,0.008847,0.859640
146,1134.00,0.001,-7.080,11.0316,3.2400,40.2897,0.0000,0.0000,0.0000,0.0000,12.0735,0.6122,46.6941,0.0000,0.0000,0.3305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.373,-140.381,26.289,3.405,13.819,0.006435,0.125304,0.000000,0.000000,0.008789,0.859472
147,1133.00,0.001,-7.092,11.0490,3.2404,40.2862,0.0000,0.0000,0.0000,0.0000,12.0861,0.6200,46.6795,0.0000,0.0000,0.3283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.604,-140.594,26.320,3.410,13.839,0.006518,0.125445,0.000000,0.000000,0.008731,0.859306
148,1132.00,0.001,-7.105,11.0654,3.2408,40.2827,0.0000,0.0000,0.0000,0.0000,12.0985,0.6278,46.6649,0.0000,0.0000,0.3261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-177.817,-140.794,26.349,3.414,13.857,0.006601,0.125585,0.000000,0.000000,0.008674,0.859140
149,1131.00,0.001,-7.117,11.0807,3.2413,40.2792,0.0000,0.0000,0.0000,0.0000,12.1107,0.6357,46.6505,0.0000,0.0000,0.3240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-178.013,-140.979,26.375,3.419,13.874,0.006683,0.125723,0.000000,0.000000,0.008617,0.858976
150,1130.00,0.001,-7.129,11.0949,3.2417,40.2757,0.0000,0.0000,0.0000,0.0000,12.1229,0.6434,46.6361,0.0000,0.0000,0.3218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-178.192,-141.151,26.398,3.423,13.889,0.006766,0.125860,0.000000,0.000000,0.008561,0.858812
151,1130.00,0.001,-7.129,11.0949,3.2417,40.2757,0.0000,0.0000,0.0000,0.0000,12.1229,0.6434,46.6361,0.0000,0.0000,0.3218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-178.192,-141.151,26.398,3.423,13.889,0.006766,0.125860,0.000000,0.000000,0.008561,0.858812
152,1129.00,0.001,-7.142,10.8183,3.2419,40.2748,0.0000,0.0000,0.0000,0.0000,12.1102,0.6621,46.6322,0.0000,0.0000,0.3207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-173.722,-137.643,25.731,3.337,13.541,0.006962,0.125732,0.000000,0.000000,0.008532,0.858775
153,1128.00,0.001,-7.154,10.6033,3.2421,40.2733,0.0000,0.0000,0.0000,0.0000,12.1025,0.6790,46.6258,0.0000,0.0000,0.3194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.236,-134.913,25.210,3.270,13.270,0.007140,0.125656,0.000000,0.000000,0.008497,0.858707
154,1127.00,0.001,-7.167,10.3961,3.2424,40.2717,0.0000,0.0000,0.0000,0.0000,12.0952,0.6961,46.6190,0.0000,0.0000,0.3181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-166.878,-132.283,24.708,3.206,13.009,0.007320,0.125585,0.000000,0.000000,0.008463,0.858631
155,1126.00,0.001,-7.179,10.1964,3.2427,40.2699,0.0000,0.0000,0.0000,0.0000,12.0882,0.7134,46.6116,0.0000,0.0000,0.3168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-163.641,-129.747,24.225,3.144,12.757,0.007502,0.125519,0.000000,0.000000,0.008429,0.858550
156,1125.00,0.001,-7.192,10.0040,3.2429,40.2681,0.0000,0.0000,0.0000,0.0000,12.0817,0.7309,46.6038,0.0000,0.0000,0.3156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.520,-127.302,23.759,3.085,12.515,0.007687,0.125456,0.000000,0.000000,0.008396,0.858461
157,1124.00,0.001,-7.204,9.8184,3.2432,40.2661,0.0000,0.0000,0.0000,0.0000,12.0755,0.7486,46.5955,0.0000,0.0000,0.3143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-157.510,-124.944,23.309,3.027,12.281,0.007874,0.125398,0.000000,0.000000,0.008363,0.858366
158,1123.00,0.001,-7.217,9.6394,3.2435,40.2641,0.0000,0.0000,0.0000,0.0000,12.0696,0.7665,46.5868,0.0000,0.0000,0.3130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-154.607,-122.669,22.876,2.972,12.055,0.008062,0.125343,0.000000,0.000000,0.008330,0.858265
159,1122.00,0.001,-7.229,9.4668,3.2438,40.2619,0.0000,0.0000,0.0000,0.0000,12.0641,0.7846,46.5776,0.0000,0.0000,0.3118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.806,-120.474,22.458,2.918,11.837,0.008253,0.125293,0.000000,0.000000,0.008297,0.858157
160,1121.00,0.001,-7.242,9.3002,3.2441,40.2597,0.0000,0.0000,0.0000,0.0000,12.0589,0.8029,46.5680,0.0000,0.0000,0.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-149.102,-118.355,22.054,2.867,11.627,0.008446,0.125246,0.000000,0.000000,0.008264,0.858044
161,1120.00,0.001,-7.254,9.1394,3.2444,40.2573,0.0000,0.0000,0.0000,0.0000,12.0540,0.8214,46.5579,0.0000,0.0000,0.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.492,-116.310,21.665,2.817,11.424,0.008641,0.125202,0.000000,0.000000,0.008232,0.857925
162,1120.00,0.001,-7.254,9.1394,3.2444,40.2573,0.0000,0.0000,0.0000,0.0000,12.0540,0.8214,46.5579,0.0000,0.0000,0.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.492,-116.310,21.665,2.817,11.424,0.008641,0.125202,0.000000,0.000000,0.008232,0.857925
163,1121.00,0.001,-7.242,9.3002,3.2441,40.2597,0.0000,0.0000,0.0000,0.0000,12.0589,0.8029,46.5680,0.0000,0.0000,0.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-149.102,-118.355,22.054,2.867,11.627,0.008446,0.125246,0.000000,0.000000,0.008264,0.858044
164,1122.00,0.001,-7.229,9.4668,3.2438,40.2619,0.0000,0.0000,0.0000,0.0000,12.0641,0.7846,46.5776,0.0000,0.0000,0.3118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.806,-120.474,22.458,2.918,11.837,0.008253,0.125293,0.000000,0.000000,0.008297,0.858157
165,1123.00,0.001,-7.217,9.6394,3.2435,40.2641,0.0000,0.0000,0.0000,0.0000,12.0696,0.7665,46.5868,0.0000,0.0000,0.3130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-154.607,-122.669,22.876,2.972,12.055,0.008062,0.125343,0.000000,0.000000,0.008330,0.858265
166,1124.00,0.001,-7.204,9.8184,3.2432,40.2661,0.0000,0.0000,0.0000,0.0000,12.0755,0.7486,46.5955,0.0000,0.0000,0.3143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-157.510,-124.944,23.309,3.027,12.281,0.007874,0.125398,0.000000,0.000000,0.008363,0.858366
167,1125.00,0.001,-7.192,10.0040,3.2429,40.2681,0.0000,0.0000,0.0000,0.0000,12.0817,0.7309,46.6038,0.0000,0.0000,0.3156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.520,-127.302,23.759,3.085,12.515,0.007687,0.125456,0.000000,0.000000,0.008396,0.858461
168,1125.00,0.001,-7.192,10.0040,3.2429,40.2681,0.0000,0.0000,0.0000,0.0000,12.0817,0.7309,46.6038,0.0000,0.0000,0.3156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.520,-127.302,23.759,3.085,12.515,0.007687,0.125456,0.000000,0.000000,0.008396,0.858461
169,1126.00,0.001,-7.179,10.1964,3.2427,40.2699,0.0000,0.0000,0.0000,0.0000,12.0882,0.7134,46.6116,0.0000,0.0000,0.3168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-163.641,-129.747,24.225,3.144,12.757,0.007502,0.125519,0.000000,0.000000,0.008429,0.858550
170,1127.00,0.001,-7.167,10.3961,3.2424,40.2717,0.0000,0.0000,0.0000,0.0000,12.0952,0.6961,46.6190,0.0000,0.0000,0.3181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-166.878,-132.283,24.708,3.206,13.009,0.007320,0.125585,0.000000,0.000000,0.008463,0.858631
171,1128.00,0.001,-7.154,10.6033,3.2421,40.2733,0.0000,0.0000,0.0000,0.0000,12.1025,0.6790,46.6258,0.0000,0.0000,0.3194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.236,-134.913,25.210,3.270,13.270,0.007140,0.125656,0.000000,0.000000,0.008497,0.858707
172,1128.00,0.001,-7.154,10.6033,3.2421,40.2733,0.0000,0.0000,0.0000,0.0000,12.1025,0.6790,46.6258,0.0000,0.0000,0.3194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-170.236,-134.913,25.210,3.270,13.270,0.007140,0.125656,0.000000,0.000000,0.008497,0.858707
173,1127.00,0.001,-7.167,10.3961,3.2424,40.2717,0.0000,0.0000,0.0000,0.0000,12.0952,0.6961,46.6190,0.0000,0.0000,0.3181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-166.878,-132.283,24.708,3.206,13.009,0.007320,0.125585,0.000000,0.000000,0.008463,0.858631
174,1126.00,0.001,-7.179,10.1964,3.2427,40.2699,0.0000,0.0000,0.0000,0.0000,12.0882,0.7134,46.6116,0.0000,0.0000,0.3168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-163.641,-129.747,24.225,3.144,12.757,0.007502,0.125519,0.000000,0.000000,0.008429,0.858550
175,1125.00,0.001,-7.192,10.0040,3.2429,40.2681,0.0000,0.0000,0.0000,0.0000,12.0817,0.7309,46.6038,0.0000,0.0000,0.3156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.520,-127.302,23.759,3.085,12.515,0.007687,0.125456,0.000000,0.000000,0.008396,0.858461
176,1124.00,0.001,-7.204,9.8184,3.2432,40.2661,0.0000,0.0000,0.0000,0.0000,12.0755,0.7486,46.5955,0.0000,0.0000,0.3143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-157.510,-124.944,23.309,3.027,12.281,0.007874,0.125398,0.000000,0.000000,0.008363,0.858366
177,1123.00,0.001,-7.217,9.6394,3.2435,40.2641,0.0000,0.0000,0.0000,0.0000,12.0696,0.7665,46.5868,0.0000,0.0000,0.3130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-154.607,-122.669,22.876,2.972,12.055,0.008062,0.125343,0.000000,0.000000,0.008330,0.858265
178,1122.00,0.001,-7.229,9.4668,3.2438,40.2619,0.0000,0.0000,0.0000,0.0000,12.0641,0.7846,46.5776,0.0000,0.0000,0.3118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.806,-120.474,22.458,2.918,11.837,0.008253,0.125293,0.000000,0.000000,0.008297,0.858157
179,1121.00,0.001,-7.242,9.3002,3.2441,40.2597,0.0000,0.0000,0.0000,0.0000,12.0589,0.8029,46.5680,0.0000,0.0000,0.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-149.102,-118.355,22.054,2.867,11.627,0.008446,0.125246,0.000000,0.000000,0.008264,0.858044
180,1120.00,0.001,-7.254,9.1394,3.2444,40.2573,0.0000,0.0000,0.0000,0.0000,12.0540,0.8214,46.5579,0.0000,0.0000,0.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.492,-116.310,21.665,2.817,11.424,0.008641,0.125202,0.000000,0.000000,0.008232,0.857925
181,1120.00,0.001,-7.254,9.1394,3.2444,40.2573,0.0000,0.0000,0.0000,0.0000,12.0540,0.8214,46.5579,0.0000,0.0000,0.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.492,-116.310,21.665,2.817,11.424,0.008641,0.125202,0.000000,0.000000,0.008232,0.857925
182,1119.00,0.001,-7.267,8.9841,3.2447,40.2549,0.0000,0.0000,0.0000,0.0000,12.0494,0.8401,46.5475,0.0000,0.0000,0.3081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.971,-114.334,21.289,2.769,11.228,0.008839,0.125162,0.000000,0.000000,0.008199,0.857800
183,1118.00,0.001,-7.280,8.8341,3.2450,40.2523,0.0000,0.0000,0.0000,0.0000,12.0452,0.8590,46.5367,0.0000,0.0000,0.3068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-141.536,-112.426,20.925,2.722,11.039,0.009038,0.125126,0.000000,0.000000,0.008167,0.857669
184,1117.00,0.001,-7.292,8.6892,3.2453,40.2497,0.0000,0.0000,0.0000,0.0000,12.0412,0.8780,46.5254,0.0000,0.0000,0.3056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.183,-110.581,20.574,2.677,10.856,0.009238,0.125093,0.000000,0.000000,0.008136,0.857533
185,1116.00,0.001,-7.305,8.5491,3.2456,40.2470,0.0000,0.0000,0.0000,0.0000,12.0375,0.8972,46.5139,0.0000,0.0000,0.3044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-136.908,-108.798,20.235,2.634,10.679,0.009441,0.125063,0.000000,0.000000,0.008104,0.857392
186,1115.00,0.001,-7.318,8.4138,3.2460,40.2442,0.0000,0.0000,0.0000,0.0000,12.0340,0.9166,46.5019,0.0000,0.0000,0.3032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-134.708,-107.074,19.907,2.592,10.508,0.009646,0.125036,0.000000,0.000000,0.008073,0.857246
187,1114.00,0.001,-7.330,8.2828,3.2463,40.2414,0.0000,0.0000,0.0000,0.0000,12.0309,0.9362,46.4896,0.0000,0.0000,0.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-132.581,-105.407,19.590,2.551,10.343,0.009852,0.125011,0.000000,0.000000,0.008041,0.857095
188,1113.00,0.001,-7.343,8.1562,3.2467,40.2384,0.0000,0.0000,0.0000,0.0000,12.0279,0.9559,46.4769,0.0000,0.0000,0.3008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-130.522,-103.793,19.283,2.512,10.183,0.010060,0.124990,0.000000,0.000000,0.008010,0.856939
189,1112.00,0.001,-7.356,8.0336,3.2470,40.2354,0.0000,0.0000,0.0000,0.0000,12.0252,0.9757,46.4640,0.0000,0.0000,0.2997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.530,-102.231,18.986,2.474,10.029,0.010270,0.124972,0.000000,0.000000,0.007979,0.856779
190,1111.00,0.001,-7.368,7.9150,3.2473,40.2323,0.0000,0.0000,0.0000,0.0000,12.0228,0.9958,46.4507,0.0000,0.0000,0.2985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-126.601,-100.719,18.698,2.437,9.879,0.010482,0.124956,0.000000,0.000000,0.007949,0.856614
191,1110.00,0.001,-7.381,7.8001,3.2477,40.2292,0.0000,0.0000,0.0000,0.0000,12.0205,1.0160,46.4370,0.0000,0.0000,0.2973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.733,-99.255,18.420,2.402,9.734,0.010695,0.124942,0.000000,0.000000,0.007918,0.856444
192,1110.00,0.001,-7.381,7.8001,3.2477,40.2292,0.0000,0.0000,0.0000,0.0000,12.0205,1.0160,46.4370,0.0000,0.0000,0.2973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.733,-99.255,18.420,2.402,9.734,0.010695,0.124942,0.000000,0.000000,0.007918,0.856444
193,1109.00,0.001,-7.394,7.6889,3.2481,40.2259,0.0000,0.0000,0.0000,0.0000,12.0185,1.0363,46.4231,0.0000,0.0000,0.2961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-122.923,-97.836,18.150,2.367,9.593,0.010910,0.124931,0.000000,0.000000,0.007888,0.856271
194,1108.00,0.001,-7.407,7.5811,3.2484,40.2226,0.0000,0.0000,0.0000,0.0000,12.0167,1.0568,46.4089,0.0000,0.0000,0.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-121.169,-96.461,17.889,2.334,9.457,0.011127,0.124923,0.000000,0.000000,0.007858,0.856093
195,1107.00,0.001,-7.420,7.4740,3.2488,40.2192,0.0000,0.0000,0.0000,0.0000,12.0150,1.0780,46.3940,0.0000,0.0000,0.2938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-119.426,-95.095,17.629,2.301,9.322,0.011351,0.124915,0.000000,0.000000,0.007827,0.855906
196,1106.00,0.001,-7.432,7.3602,3.2492,40.2153,0.0000,0.0000,0.0000,0.0000,12.0130,1.1018,46.3772,0.0000,0.0000,0.2927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-117.576,-93.642,17.354,2.265,9.178,0.011603,0.124907,0.000000,0.000000,0.007798,0.855692
197,1105.00,0.001,-7.445,7.2503,3.2496,40.2113,0.0000,0.0000,0.0000,0.0000,12.0114,1.1257,46.3600,0.0000,0.0000,0.2916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.789,-92.238,17.089,2.231,9.039,0.011856,0.124902,0.000000,0.000000,0.007769,0.855473
198,1105.00,0.001,-7.445,7.2503,3.2496,40.2113,0.0000,0.0000,0.0000,0.0000,12.0114,1.1257,46.3600,0.0000,0.0000,0.2916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.789,-92.238,17.089,2.231,9.039,0.011856,0.124902,0.000000,0.000000,0.007769,0.855473
199,1104.00,0.001,-7.458,7.1441,3.2500,40.2073,0.0000,0.0000,0.0000,0.0000,12.0099,1.1499,46.3425,0.0000,0.0000,0.2904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-114.060,-90.881,16.832,2.198,8.905,0.012112,0.124900,0.000000,0.000000,0.007739,0.855249
200,1103.00,0.001,-7.471,7.0413,3.2504,40.2031,0.0000,0.0000,0.0000,0.0000,12.0087,1.1742,46.3246,0.0000,0.0000,0.2893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-112.389,-89.568,16.583,2.166,8.775,0.012369,0.124900,0.000000,0.000000,0.007710,0.855020
201,1102.00,0.001,-7.484,6.9420,3.2508,40.1989,0.0000,0.0000,0.0000,0.0000,12.0078,1.1987,46.3064,0.0000,0.0000,0.2882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.771,-88.298,16.343,2.135,8.649,0.012628,0.124903,0.000000,0.000000,0.007681,0.854787
